date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:42:40	99920/99920	---M--	200	added ('OK')	binary/octet-stream	etag:%2229f9630f7d87a79830d1c321e1600f2e%22	https://assets2.snappages.site/global/assets/icons/typicons/typicons.ttf	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/assets2.snappages.site/global/assets/icons/typicons/typicons.ttf	(from https://assets2.snappages.site/global/assets/icons/typicons/typicons.min.css)
08:42:42	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Fri,%2017%20Nov%202023%2016:42:41%20GMT	https://assets2.snappages.site/global/assets/icons/typicons/typicons.svg	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/assets2.snappages.site/global/assets/icons/typicons/typicons.31.delayed	(from https://assets2.snappages.site/global/assets/icons/typicons/typicons.min.css)
08:42:42	0/-1	---M--	307	error ('')			https://rccgovercomerschapel.org/home	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/rccgovercomerschapel.org/home.32.delayed	(from https://rccgovercomerschapel.org/mission-and-vision)
08:42:44	16678/16678	---M--	200	added ('OK')	image/jpeg	etag:%226e5a232b2bc5fa474a7a51429c0fc76f%22	https://storage2.snappages.site/VKHSRW/assets/images/3291930_1920x1080_500.jpg	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/storage2.snappages.site/VKHSRW/assets/images/3291930_1920x1080_500.jpg	(from https://rccgovercomerschapel.org/mission-and-vision)
08:42:45	18195/18195	---M--	200	added ('OK')	image/jpeg	etag:%22ee1698976fc51484b33153a6bd6961f8%22	https://storage2.snappages.site/VKHSRW/assets/images/3291937_1920x1080_500.jpg	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/storage2.snappages.site/VKHSRW/assets/images/3291937_1920x1080_500.jpg	(from https://rccgovercomerschapel.org/mission-and-vision)
08:42:47	26398/26398	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2016:42:46%20GMT	https://rccgovercomerschapel.org/ourvalues	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/rccgovercomerschapel.org/ourvalues.html	(from https://rccgovercomerschapel.org/mission-and-vision)
08:42:48	23716/23716	---M--	200	added ('OK')	image/jpeg	etag:%2293192ecf553577bfd87e34f83ae72f49%22	https://storage2.snappages.site/VKHSRW/assets/images/3291942_1920x1080_500.jpg	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/storage2.snappages.site/VKHSRW/assets/images/3291942_1920x1080_500.jpg	(from https://rccgovercomerschapel.org/mission-and-vision)
08:42:49	60139/60139	---M--	200	added ('OK')	image/jpeg	etag:%225534b635f4587986bf53b75a31a2b708%22	https://storage2.snappages.site/VKHSRW/assets/images/3026525_8014x4501_500.jpg	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/storage2.snappages.site/VKHSRW/assets/images/3026525_8014x4501_500.jpg	(from https://rccgovercomerschapel.org/mission-and-vision)
08:42:50	80250/80250	---M--	200	added ('OK')	image/jpeg	etag:%229019802512b71eb9e745c09c0e9f77de%22	https://storage2.snappages.site/VKHSRW/assets/images/3026460_8014x4501_500.jpg	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/storage2.snappages.site/VKHSRW/assets/images/3026460_8014x4501_500.jpg	(from https://rccgovercomerschapel.org/mission-and-vision)
08:42:50	0/-1	---M--	307	error ('')			https://rccgovercomerschapel.org/home	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/rccgovercomerschapel.org/home.3a.delayed	(from https://rccgovercomerschapel.org/leadership)
08:42:51	48926/48926	---M--	200	added ('OK')	image/jpeg	etag:%228ebf7cbbcac8f38066b454f535bcb322%22	https://storage2.snappages.site/VKHSRW/assets/images/3026536_8014x4501_500.jpg	C:/Users/VICTORY%20CENTRE/Desktop/Church/RCCG_Victory%20Centre/storage2.snappages.site/VKHSRW/assets/images/3026536_8014x4501_500.jpg	(from https://rccgovercomerschapel.org/mission-and-vision)
